username,repo_name,repo_url,stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,311000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,197000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,190000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,179000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,121000
krahets,hello-algo,https://github.com/krahets/hello-algo,108000
kdn251,interviews,https://github.com/kdn251/interviews,63900
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,60600
azl397985856,leetcode,https://github.com/azl397985856/leetcode,55000
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,53400
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,47000
huihut,interview,https://github.com/huihut/interview,35200
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,33300
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,32800
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,31100
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,29800
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27100
keon,algorithms,https://github.com/keon/algorithms,24300
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,24100
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,23600
