username,repo_name,repo_url,stars
ByteByteGoHq,system-design-101,https://github.com/ByteByteGoHq/system-design-101,67900
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,67500
localstack,localstack,https://github.com/localstack/localstack,57200
serverless,serverless,https://github.com/serverless/serverless,46600
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,27800
pulumi,pulumi,https://github.com/pulumi/pulumi,22300
danny-avila,LibreChat,https://github.com/danny-avila/LibreChat,20700
getsops,sops,https://github.com/getsops/sops,17600
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,16400
aws,aws-cli,https://github.com/aws/aws-cli,15700
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,15200
caprover,caprover,https://github.com/caprover/caprover,13600
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,13400
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,13000
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,12600
aws,aws-cdk,https://github.com/aws/aws-cdk,11800
infracost,infracost,https://github.com/infracost/infracost,11200
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,11100
apereo,cas,https://github.com/apereo/cas,11000
aws,chalice,https://github.com/aws/chalice,10700
