username,repo_name,repo_url,stars
flutter,flutter,https://github.com/flutter/flutter,168000
facebook,react-native,https://github.com/facebook/react-native,120000
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,117000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,112000
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,88000
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,54500
tldr-pages,tldr,https://github.com/tldr-pages/tldr,53200
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,51300
google,material-design-icons,https://github.com/google/material-design-icons,51000
laurent22,joplin,https://github.com/laurent22/joplin,47400
appwrite,appwrite,https://github.com/appwrite/appwrite,46600
square,okhttp,https://github.com/square/okhttp,46100
android,architecture-samples,https://github.com/android/architecture-samples,44700
square,retrofit,https://github.com/square/retrofit,43200
skylot,jadx,https://github.com/skylot/jadx,42600
dcloudio,uni-app,https://github.com/dcloudio/uni-app,40400
fastlane,fastlane,https://github.com/fastlane/fastlane,39800
termux,termux-app,https://github.com/termux/termux-app,38300
2dust,v2rayNG,https://github.com/2dust/v2rayNG,37900
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37700
