username,repo_name,repo_url,stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,112000
angular,angular,https://github.com/angular/angular,96700
storybookjs,storybook,https://github.com/storybookjs/storybook,85200
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,64500
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,51300
prettier,prettier,https://github.com/prettier/prettier,49800
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,43800
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,35300
angular,angular-cli,https://github.com/angular/angular-cli,26800
wailsapp,wails,https://github.com/wailsapp/wails,26500
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,24800
angular,components,https://github.com/angular/components,24500
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,24500
nrwl,nx,https://github.com/nrwl/nx,24300
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,24200
paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,24000
pubkey,rxdb,https://github.com/pubkey/rxdb,21900
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,21700
teambit,bit,https://github.com/teambit/bit,18000
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,17500
