username,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,67500
ansible,ansible,https://github.com/ansible/ansible,63700
trailofbits,algo,https://github.com/trailofbits/algo,29100
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,27600
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,23200
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,16400
ansible,awx,https://github.com/ansible/awx,14300
semaphoreui,semaphore,https://github.com/semaphoreui/semaphore,11100
easzlab,kubeasz,https://github.com/easzlab/kubeasz,10700
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,9700
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,8600
khuedoan,homelab,https://github.com/khuedoan/homelab,8400
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,8300
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,6100
Orange-Cyberdefense,GOAD,https://github.com/Orange-Cyberdefense/GOAD,5800
rundeck,rundeck,https://github.com/rundeck/rundeck,5600
ChristianLempa,boilerplates,https://github.com/ChristianLempa/boilerplates,5000
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,5000
clong,DetectionLab,https://github.com/clong/DetectionLab,4700
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,4200
