username,repo_name,repo_url,stars
arendst,Tasmota,https://github.com/arendst/Tasmota,22600
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,16500
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,15700
arduino,Arduino,https://github.com/arduino/Arduino,14200
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,14100
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,13700
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,13300
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,11100
hybridgroup,gobot,https://github.com/hybridgroup/gobot,9000
platformio,platformio-core,https://github.com/platformio/platformio-core,8100
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6800
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,6700
justcallmekoko,ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,6700
olikraus,u8g2,https://github.com/olikraus/u8g2,5300
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,5100
omriharel,deej,https://github.com/omriharel/deej,4900
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,4700
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,4600
arduino,arduino-cli,https://github.com/arduino/arduino-cli,4400
hybridgroup,cylon,https://github.com/hybridgroup/cylon,4200
