username,repo_name,repo_url,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,81600
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,35500
ccxt,ccxt,https://github.com/ccxt/ccxt,34200
bitcoinbook,bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,23900
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,18400
solana-labs,solana,https://github.com/solana-labs/solana,13800
bbfamily,abu,https://github.com/bbfamily/abu,12600
askmike,gekko,https://github.com/askmike/gekko,10100
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,9400
UFund-Me,Qbot,https://github.com/UFund-Me/Qbot,9100
getumbrel,umbrel,https://github.com/getumbrel/umbrel,8200
dvf,blockchain,https://github.com/dvf/blockchain,7900
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7800
spesmilo,electrum,https://github.com/spesmilo/electrum,7700
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6900
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,6600
btcsuite,btcd,https://github.com/btcsuite/btcd,6300
jesse-ai,jesse,https://github.com/jesse-ai/jesse,6000
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,5800
