username,repo_name,repo_url,stars
ccxt,ccxt,https://github.com/ccxt/ccxt,34200
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,26800
feder-cr,Jobs_Applier_AI_Agent,https://github.com/feder-cr/Jobs_Applier_AI_Agent,26700
discordjs,discord.js,https://github.com/discordjs/discord.js,25600
wechaty,wechaty,https://github.com/wechaty/wechaty,20800
RasaHQ,rasa,https://github.com/RasaHQ/rasa,19300
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,17000
hubotio,hubot,https://github.com/hubotio/hubot,16700
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,15900
leon-ai,leon,https://github.com/leon-ai/leon,15800
Rapptz,discord.py,https://github.com/Rapptz/discord.py,15100
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,14900
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,14200
lss233,chatgpt-mirai-qq-bot,https://github.com/lss233/chatgpt-mirai-qq-bot,13700
howdyai,botkit,https://github.com/howdyai/botkit,11500
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,10500
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,10100
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,9400
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,8600
telegraf,telegraf,https://github.com/telegraf/telegraf,8500
