username,repo_name,repo_url,stars
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,214000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,179000
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,61300
azl397985856,leetcode,https://github.com/azl397985856/leetcode,55000
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,53400
WerWolv,ImHex,https://github.com/WerWolv/ImHex,46700
Light-City,CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,40000
ClickHouse,ClickHouse,https://github.com/ClickHouse/ClickHouse,38600
huihut,interview,https://github.com/huihut/interview,35200
doocs,leetcode,https://github.com/doocs/leetcode,32700
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,32500
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,31700
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,31100
aseprite,aseprite,https://github.com/aseprite/aseprite,30400
microsoft,calculator,https://github.com/microsoft/calculator,30000
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,26900
gabime,spdlog,https://github.com/gabime/spdlog,25100
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,24400
microsoft,vcpkg,https://github.com/microsoft/vcpkg,23900
ethereum,solidity,https://github.com/ethereum/solidity,23800
