username,repo_name,repo_url,stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,117000
neovim,neovim,https://github.com/neovim/neovim,85500
obsproject,obs-studio,https://github.com/obsproject/obs-studio,61800
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,61300
git,git,https://github.com/git/git,53300
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,47400
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,42500
vim,vim,https://github.com/vim/vim,37300
curl,curl,https://github.com/curl/curl,36600
huihut,interview,https://github.com/huihut/interview,35200
mpv-player,mpv,https://github.com/mpv-player/mpv,29400
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,26300
ossrs,srs,https://github.com/ossrs/srs,26200
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,26100
raysan5,raylib,https://github.com/raysan5/raylib,24500
microsoft,vcpkg,https://github.com/microsoft/vcpkg,23900
google,flatbuffers,https://github.com/google/flatbuffers,23700
ruby,ruby,https://github.com/ruby/ruby,22300
hashcat,hashcat,https://github.com/hashcat/hashcat,21800
forthespada,CS-Books,https://github.com/forthespada/CS-Books,21800
