username,repo_name,repo_url,stars
public-apis,public-apis,https://github.com/public-apis/public-apis,325000
neovim,neovim,https://github.com/neovim/neovim,85500
fastapi,fastapi,https://github.com/fastapi/fastapi,80100
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,66600
strapi,strapi,https://github.com/strapi/strapi,64700
ocornut,imgui,https://github.com/ocornut/imgui,62700
QuivrHQ,quivr,https://github.com/QuivrHQ/quivr,37200
slatedocs,slate,https://github.com/slatedocs/slate,36100
trpc,trpc,https://github.com/trpc/trpc,35600
Kong,insomnia,https://github.com/Kong/insomnia,35500
httpie,cli,https://github.com/httpie/cli,34500
ccxt,ccxt,https://github.com/ccxt/ccxt,34200
hasura,graphql-engine,https://github.com/hasura/graphql-engine,31300
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,30300
mudler,LocalAI,https://github.com/mudler/LocalAI,29600
directus,directus,https://github.com/directus/directus,28800
encode,django-rest-framework,https://github.com/encode/django-rest-framework,28700
YMFE,yapi,https://github.com/YMFE/yapi,27500
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,25800
PostgREST,postgrest,https://github.com/PostgREST/postgrest,24200
