username,repo_name,repo_url,stars
amphp,amp,https://github.com/amphp/amp,4300
danog,MadelineProto,https://github.com/danog/MadelineProto,2900
amphp,parallel,https://github.com/amphp/parallel,800
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,791
amphp,http-client,https://github.com/amphp/http-client,708
amphp,byte-stream,https://github.com/amphp/byte-stream,372
amphp,mysql,https://github.com/amphp/mysql,363
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,345
amphp,parallel-functions,https://github.com/amphp/parallel-functions,271
xtrime-ru,TelegramRSS,https://github.com/xtrime-ru/TelegramRSS,255
amphp,socket,https://github.com/amphp/socket,238
amphp,process,https://github.com/amphp/process,235
amphp,dns,https://github.com/amphp/dns,167
amphp,sync,https://github.com/amphp/sync,167
amphp,redis,https://github.com/amphp/redis,160
amphp,websocket-client,https://github.com/amphp/websocket-client,148
kelunik,acme,https://github.com/kelunik/acme,120
amphp,serialization,https://github.com/amphp/serialization,116
amphp,websocket-server,https://github.com/amphp/websocket-server,115
amphp,cache,https://github.com/amphp/cache,106
