username,repo_name,repo_url,stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,343000
vinta,awesome-python,https://github.com/vinta/awesome-python,231000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,213000
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,156000
avelino,awesome-go,https://github.com/avelino/awesome-go,137000
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,97700
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,90300
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,88000
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,79100
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,72800
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,70900
enaqx,awesome-react,https://github.com/enaqx/awesome-react,66500
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,61300
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,60100
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,59300
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,58600
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,54500
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,51300
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,49200
rust-unofficial,awesome-rust,https://github.com/rust-unofficial/awesome-rust,48300
