username,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,67500
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,66800
pulumi,pulumi,https://github.com/pulumi/pulumi,22300
danny-avila,LibreChat,https://github.com/danny-avila/LibreChat,20700
getsops,sops,https://github.com/getsops/sops,17600
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,15200
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,14200
caprover,caprover,https://github.com/caprover/caprover,13600
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,13400
infracost,infracost,https://github.com/infracost/infracost,11200
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,11100
budtmo,docker-android,https://github.com/budtmo/docker-android,10200
google,go-cloud,https://github.com/google/go-cloud,9600
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,9600
Netflix,metaflow,https://github.com/Netflix/metaflow,8500
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7600
YSGStudyHards,DotNetGuide,https://github.com/YSGStudyHards/DotNetGuide,7500
midwayjs,midway,https://github.com/midwayjs/midway,7500
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,7300
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,7300
