username,repo_name,repo_url,stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,154000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,81800
junegunn,fzf,https://github.com/junegunn/fzf,67400
starship,starship,https://github.com/starship/starship,46700
google,zx,https://github.com/google/zx,43500
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,41300
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,40900
koalaman,shellcheck,https://github.com/koalaman/shellcheck,36800
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,36700
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,33600
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,32700
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,30500
kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,24700
withfig,autocomplete,https://github.com/withfig/autocomplete,24700
ajeetdsouza,zoxide,https://github.com/ajeetdsouza/zoxide,24400
asdf-vm,asdf,https://github.com/asdf-vm/asdf,22500
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,22400
atuinsh,atuin,https://github.com/atuinsh/atuin,22200
warpdotdev,Warp,https://github.com/warpdotdev/Warp,22000
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,19500
