username,repo_name,repo_url,stars
electron,electron,https://github.com/electron/electron,115000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,89500
microsoft,playwright,https://github.com/microsoft/playwright,68700
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,51800
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,32700
feder-cr,Jobs_Applier_AI_Agent,https://github.com/feder-cr/Jobs_Applier_AI_Agent,26700
ovity,octotree,https://github.com/ovity/octotree,22900
segment-boneyard,nightmare,https://github.com/segment-boneyard/nightmare,19600
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,16600
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,15900
checkly,headless-recorder,https://github.com/checkly/headless-recorder,15100
google,WebFundamentals,https://github.com/google/WebFundamentals,13900
schickling,chromeless,https://github.com/schickling/chromeless,13200
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,12300
crimx,ext-saladict,https://github.com/crimx/ext-saladict,12200
casesandberg,react-color,https://github.com/casesandberg/react-color,12100
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,11800
chromedp,chromedp,https://github.com/chromedp/chromedp,11300
xifangczy,cat-catch,https://github.com/xifangczy/cat-catch,11000
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,10700
