username,repo_name,repo_url,stars
realm,SwiftLint,https://github.com/realm/SwiftLint,18800
facebook,infer,https://github.com/facebook/infer,15100
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,13500
federico-busato,Modern-CPP-Programming,https://github.com/federico-busato/Modern-CPP-Programming,12700
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,9900
super-linter,super-linter,https://github.com/super-linter/super-linter,9600
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,9300
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,8400
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,8100
facebook,pyre-check,https://github.com/facebook/pyre-check,6900
detekt,detekt,https://github.com/detekt/detekt,6400
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,5800
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,5600
pylint-dev,pylint,https://github.com/pylint-dev/pylint,5400
pmd,pmd,https://github.com/pmd/pmd,5000
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4800
kucherenko,jscpd,https://github.com/kucherenko/jscpd,4800
phpro,grumphp,https://github.com/phpro/grumphp,4200
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,3100
crate-ci,typos,https://github.com/crate-ci/typos,2800
