username,repo_name,repo_url,stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,176000
junegunn,fzf,https://github.com/junegunn/fzf,67400
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,61900
n8n-io,n8n,https://github.com/n8n-io/n8n,56200
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,55400
sharkdp,bat,https://github.com/sharkdp/bat,50800
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,49900
wagoodman,dive,https://github.com/wagoodman/dive,49100
All-Hands-AI,OpenHands,https://github.com/All-Hands-AI/OpenHands,44400
google,zx,https://github.com/google/zx,43500
spf13,cobra,https://github.com/spf13/cobra,38900
chubin,cheat.sh,https://github.com/chubin/cheat.sh,38800
cli,cli,https://github.com/cli/cli,38000
ultralytics,ultralytics,https://github.com/ultralytics/ultralytics,35700
sharkdp,fd,https://github.com/sharkdp/fd,35300
httpie,cli,https://github.com/httpie/cli,34500
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,33600
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,31500
charmbracelet,bubbletea,https://github.com/charmbracelet/bubbletea,29200
tqdm,tqdm,https://github.com/tqdm/tqdm,29100
