username,repo_name,repo_url,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,81600
OpenBB-finance,OpenBB,https://github.com/OpenBB-finance/OpenBB,35500
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,35500
ccxt,ccxt,https://github.com/ccxt/ccxt,34200
dogecoin,dogecoin,https://github.com/dogecoin/dogecoin,14900
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,9400
monero-project,monero,https://github.com/monero-project/monero,9200
xmrig,xmrig,https://github.com/xmrig/xmrig,9000
dvf,blockchain,https://github.com/dvf/blockchain,7900
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7800
kroma-network,tachyon,https://github.com/kroma-network/tachyon,7800
StockSharp,StockSharp,https://github.com/StockSharp/StockSharp,7600
firmai,financial-machine-learning,https://github.com/firmai/financial-machine-learning,7500
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
cosmos,cosmos-sdk,https://github.com/cosmos/cosmos-sdk,6400
sammchardy,python-binance,https://github.com/sammchardy/python-binance,6300
jesse-ai,jesse,https://github.com/jesse-ai/jesse,6000
tendermint,tendermint,https://github.com/tendermint/tendermint,5700
chrisleekr,binance-trading-bot,https://github.com/chrisleekr/binance-trading-bot,5200
sea-protocol,seaprotocol,https://github.com/sea-protocol/seaprotocol,5100
