username,repo_name,repo_url,stars
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,32700
refined-github,refined-github,https://github.com/refined-github/refined-github,25600
openai-translator,openai-translator,https://github.com/openai-translator/openai-translator,24100
darkreader,darkreader,https://github.com/darkreader/darkreader,20100
dailydotdev,daily,https://github.com/dailydotdev/daily,19100
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,16600
checkly,headless-recorder,https://github.com/checkly/headless-recorder,15100
immersive-translate,immersive-translate,https://github.com/immersive-translate/immersive-translate,14500
AutomaApp,automa,https://github.com/AutomaApp/automa,14200
unbug,codelf,https://github.com/unbug/codelf,14100
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,13400
wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13300
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,12800
crimx,ext-saladict,https://github.com/crimx/ext-saladict,12200
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,11600
xifangczy,cat-catch,https://github.com/xifangczy/cat-catch,11000
PlasmoHQ,plasmo,https://github.com/PlasmoHQ/plasmo,11000
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,10700
josStorer,chatGPTBox,https://github.com/josStorer/chatGPTBox,10300
chathub-dev,chathub,https://github.com/chathub-dev/chathub,10100
