username,repo_name,repo_url,stars
metabase,metabase,https://github.com/metabase/metabase,39700
penpot,penpot,https://github.com/penpot/penpot,34800
logseq,logseq,https://github.com/logseq/logseq,34400
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,13700
LightTable,LightTable,https://github.com/LightTable/LightTable,11700
kanaka,mal,https://github.com/kanaka/mal,10200
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,9500
tonsky,datascript,https://github.com/tonsky/datascript,5500
reagent-project,reagent,https://github.com/reagent-project/reagent,4800
defold,defold,https://github.com/defold/defold,4600
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,4500
riemann,riemann,https://github.com/riemann/riemann,4200
babashka,babashka,https://github.com/babashka/babashka,4100
weavejester,compojure,https://github.com/weavejester/compojure,4100
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,4000
status-im,status-mobile,https://github.com/status-im/status-mobile,3900
ring-clojure,ring,https://github.com/ring-clojure/ring,3800
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3600
viebel,klipse,https://github.com/viebel/klipse,3100
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,3100
