username,repo_name,repo_url,stars
vercel,next.js,https://github.com/vercel/next.js,129000
rust-lang,rust,https://github.com/rust-lang/rust,101000
sveltejs,svelte,https://github.com/sveltejs/svelte,81000
webpack,webpack,https://github.com/webpack/webpack,65000
FuelLabs,sway,https://github.com/FuelLabs/sway,62500
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,55600
JetBrains,kotlin,https://github.com/JetBrains/kotlin,49800
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,43600
babel,babel,https://github.com/babel/babel,43400
evanw,esbuild,https://github.com/evanw/esbuild,38500
typst,typst,https://github.com/typst/typst,36900
ziglang,zig,https://github.com/ziglang/zig,36800
vlang,v,https://github.com/vlang/v,36000
markedjs,marked,https://github.com/markedjs/marked,33700
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,32500
swc-project,swc,https://github.com/swc-project/swc,31600
vercel,pkg,https://github.com/vercel/pkg,24300
v8,v8,https://github.com/v8/v8,23700
oracle,graal,https://github.com/oracle/graal,20600
crystal-lang,crystal,https://github.com/crystal-lang/crystal,19600
