username,repo_name,repo_url,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,104000
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,28000
libgdx,libgdx,https://github.com/libgdx/libgdx,23600
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,23500
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,22700
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,21100
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,18300
aframevr,aframe,https://github.com/aframevr/aframe,16800
blender,blender,https://github.com/blender/blender,13900
CesiumGS,cesium,https://github.com/CesiumGS/cesium,13200
4ian,GDevelop,https://github.com/4ian/GDevelop,12500
isl-org,Open3D,https://github.com/isl-org/Open3D,11800
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,11700
mapbox,mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js,11400
metafizzy,zdog,https://github.com/metafizzy/zdog,10400
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9800
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,9800
cocos,cocos-engine,https://github.com/cocos/cocos-engine,8300
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,8000
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,7900
